"Terminal view commands","Terminal view insert","Alt+L","Terminal Typing Connected"
"Terminal view commands","Terminal view insert","Alt+E","Terminal Typing Connected"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Edit","Previous Sibling","Ctrl+Shift+Up","Editing in Structured Text Editors"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Edit","Add Maven Plugin","Ctrl+Shift+P","Editing XML Source"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Step Over","F6","Debugging"
"Terminal view commands","Terminal view insert","Alt+W","Terminal Typing Connected"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks View"
"Source","Add Block Comment","Ctrl+Shift+/","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+T","Terminal Typing Connected"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Terminal view commands","Paste","Ctrl+Shift+V","Terminal Control in Focus"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"File","Refresh","F5","In Windows"
"Source","Snipmatch Snippet Completion","Ctrl+Alt+Space","Editing Text"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Edit","Add Block Comment","Ctrl+Shift+/","Editing in Structured Text Editors"
"Edit","Delete","Delete","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Window","Toggle Split Editor (Horizontal)","Ctrl+_","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"File","Close","Ctrl+W","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Edit","Context Information","Ctrl+Shift+Space","In Dialogs and Windows"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Text Editing","To Lower Case","Ctrl+Shift+Y","Editing Text"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Navigate","Next Page","Alt+F7","In Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"File","Save","Ctrl+S","In Windows"
"Terminal view commands","Copy","Ctrl+Shift+C","Terminal Control in Focus"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Run/Debug","Coverage Eclipse Application","Alt+Shift+E, E","In Windows"
"Terminal view commands","Terminal view insert","Alt+A","Terminal Typing Connected"
"Edit","Word Completion","Alt+/","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Edit","Toggle Comment","Ctrl+Shift+C","Editing in Structured Text Editors"
"Edit","Find Next","Ctrl+K","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Run/Debug","Run Java Application","Alt+Shift+X, J","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Text Editing","Line Down","Alt+K","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Run/Debug","Run Java Applet","Alt+Shift+X, A","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Views","Show View (Javadoc)","Alt+Shift+Q, J","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Uncategorized","Copy SHA-1","Ctrl+C","In Git Reflog View"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"File","Properties","Alt+Enter","In Windows"
"Edit","Next Sibling","Ctrl+Shift+Down","Editing in Structured Text Editors"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","EOF","Ctrl+Z","In I/O Console"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Debug","F11","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Run/Debug","Coverage TestNG Test","Alt+Shift+E, N","In Windows"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Edit","Toggle Word Wrap","Alt+Shift+Y","Editing Text"
"Run/Debug","Step Into","F5","Debugging"
"Git","Commit...","Ctrl+#","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Coverage Scala Application","Alt+Shift+E, L","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"File","Close All","Ctrl+Shift+W","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"Run/Debug","Coverage Last Launched","Ctrl+Shift+F11","In Windows"
"Terminal view commands","Terminal view insert","Alt+H","Terminal Typing Connected"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal Typing Connected"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
